CO2,p,T,H2O,Points:0,Points:1,Points:2,H2O
0.98744,1.00E+07,350.5,0.01256,0,0.001,0.0089654,6.28E-05
0.98756,1.00E+07,350.6,0.01244,0,0.001,0.0045963,6.22E-05
0.9876,1.00E+07,350.49,0.0124,0,0.001,0.0092366,6.20E-05
0.98824,1.00E+07,350.46,0.01176,0,0.001,0.0095096,5.88E-05
0.98826,1.00E+07,350.56,0.01174,0,0.0006,0.002459,5.87E-05
0.9883,1.00E+07,350.47,0.0117,0,-0.0006,0.012917,5.85E-05
0.98848,1.00E+07,348.59,0.01152,0,0.0002,0.0013209,5.76E-05
0.98868,1.00E+07,350.47,0.01132,0,0.0006,0.012917,5.66E-05
0.98904,1.00E+07,350.45,0.01096,0,-0.001,0.005835,5.48E-05
0.98944,1.00E+07,350.54,0.01056,0,0.001,0.004353,5.28E-05
0.98966,1.00E+07,348.74,0.01034,0,-0.0002,0.0010974,5.17E-05
0.98992,1.00E+07,350.42,0.01008,0,0.001,0.0097841,5.04E-05
0.99008,1.00E+07,350.44,0.00992,0,-0.001,0.0026907,4.96E-05
0.99014,1.00E+07,350.55,0.00986,0,-0.0002,0.013509,4.93E-05
0.99016,1.00E+07,350.55,0.00984,0,0.0002,0.013509,4.92E-05
0.99102,1.00E+07,350.43,0.00898,0,0.0006,0.0022286,4.49E-05
0.99102,1.00E+07,350.37,0.00898,0,-0.0006,0.0019996,4.49E-05
0.99104,1.00E+07,350.49,0.00896,0,0.001,0.0041112,4.48E-05
0.99104,1.00E+07,350.42,0.00896,0,-0.001,0.0089654,4.48E-05
0.99106,1.00E+07,350.42,0.00894,0,-0.001,0.0092366,4.47E-05
0.99112,1.00E+07,350.42,0.00888,0,-0.001,0.0086957,4.44E-05
0.99124,1.00E+07,350.41,0.00876,0,-0.001,0.0095096,4.38E-05
0.99126,1.00E+07,350.42,0.00874,0,-0.001,0.0084277,4.37E-05
0.99152,1.00E+07,350.41,0.00848,0,-0.001,0.0081613,4.24E-05
0.99154,1.00E+07,348.62,0.00846,0,0.0002,0.0010974,4.23E-05
0.99154,1.00E+07,350.39,0.00846,0,-0.001,0.0060872,4.23E-05
0.99162,1.00E+07,350.4,0.00838,0,-0.001,0.0097841,4.19E-05
0.99188,1.00E+07,350.4,0.00812,0,-0.001,0.0078965,4.06E-05
0.99218,1.00E+07,350.39,0.00782,0,-0.001,0.01006,3.91E-05
0.99234,1.00E+07,350.38,0.00766,0,-0.001,0.0076333,3.83E-05
0.99242,1.00E+07,350.44,0.00758,0,0.001,0.0038709,3.79E-05
0.99246,1.00E+07,350.36,0.00754,0,0.001,0.01006,3.77E-05
0.99284,1.00E+07,350.37,0.00716,0,-0.001,0.0073717,3.58E-05
0.99286,1.00E+07,350.37,0.00714,0,-0.001,0.010338,3.57E-05
0.99304,1.00E+07,350.36,0.00696,0,-0.001,0.006341,3.48E-05
0.9933,1.00E+07,350.36,0.0067,0,-0.001,0.0071117,3.35E-05
0.9936,1.00E+07,350.35,0.0064,0,-0.001,0.010618,3.20E-05
0.99362,1.00E+07,350.35,0.00638,0,-0.001,0.0068533,3.19E-05
0.99364,1.00E+07,350.33,0.00636,0,-0.001,0.002459,3.18E-05
0.99364,1.00E+07,350.35,0.00636,0,-0.001,0.0065964,3.18E-05
0.99366,1.00E+07,350.39,0.00634,0,0.001,0.003632,3.17E-05
0.9938,1.00E+07,350.31,0.0062,0,-0.0006,0.001772,3.10E-05
0.99384,1.00E+07,350.29,0.00616,0,0.0006,0.0019996,3.08E-05
0.9941,1.00E+07,348.79,0.0059,0,-0.0002,0.00087528,2.95E-05
0.99434,1.00E+07,350.33,0.00566,0,-0.001,0.010899,2.83E-05
0.9948,1.00E+07,350.34,0.0052,0,0.001,0.0033945,2.60E-05
0.99482,1.00E+07,348.75,0.00518,0,0.0002,0.00087528,2.59E-05
0.99488,1.00E+07,350.31,0.00512,0,0.001,0.010338,2.56E-05
0.99494,1.00E+07,350.29,0.00506,0,-0.0006,0.0015458,2.53E-05
0.9951,1.00E+07,350.3,0.0049,0,-0.001,0.011182,2.45E-05
0.99546,1.00E+07,350.32,0.00454,0,-0.0006,0.013212,2.27E-05
0.99552,1.00E+07,350.33,0.00448,0,0.0006,0.013212,2.24E-05
0.99572,1.00E+07,350.26,0.00428,0,-0.0006,0.0013209,2.14E-05
0.99588,1.00E+07,350.3,0.00412,0,0.001,0.0031585,2.06E-05
0.9959,1.00E+07,350.27,0.0041,0,-0.001,0.011467,2.05E-05
0.99596,1.00E+07,350.25,0.00404,0,-0.001,0.0022286,2.02E-05
0.9963,1.00E+07,350.16,0.0037,0,0.0006,0.001772,1.85E-05
0.99648,1.00E+07,350.28,0.00352,0,0.001,0.010618,1.76E-05
0.99668,1.00E+07,348.88,0.00332,0,-0.0002,0.00065447,1.66E-05
0.99672,1.00E+07,350.24,0.00328,0,-0.001,0.011753,1.64E-05
0.99678,1.00E+07,348.87,0.00322,0,0.0002,0.00065447,1.61E-05
0.99686,1.00E+07,350.27,0.00314,0,0.001,0.0029239,1.57E-05
0.99722,1.00E+07,350.18,0.00278,0,-0.0006,0.0010974,1.39E-05
0.99738,1.00E+07,350.26,0.00262,0,0.001,0.010899,1.31E-05
0.9975,1.00E+07,350.2,0.0025,0,-0.001,0.0019996,1.25E-05
0.99752,1.00E+07,350.22,0.00248,0,-0.001,0.012042,1.24E-05
0.99772,1.00E+07,350.24,0.00228,0,0.001,0.0026907,1.14E-05
0.99788,1.00E+07,350.24,0.00212,0,0.001,0.011182,1.06E-05
0.99788,1.00E+07,349.05,0.00212,0,0.0002,0.00043499,1.06E-05
0.99792,1.00E+07,349.04,0.00208,0,-0.0002,0.00043499,1.04E-05
0.99798,1.00E+07,350.18,0.00202,0,-0.0014,0.004353,1.01E-05
0.998,1.00E+07,350.07,0.002,0,0.0006,0.0015458,1.00E-05
0.998032,1.00E+07,350.18,0.001968,0,-0.0014,0.0041112,9.84E-06
0.99806,1.00E+07,350.18,0.00194,0,-0.0014,0.0045963,9.70E-06
0.998152,1.00E+07,350.23,0.001848,0,0.001,0.011467,9.24E-06
0.998158,1.00E+07,350.22,0.001842,0,0.0014,0.006341,9.21E-06
0.998174,1.00E+07,350.22,0.001826,0,0.0014,0.0060872,9.13E-06
0.998176,1.00E+07,350.19,0.001824,0,-0.001,0.012332,9.12E-06
0.99818,1.00E+07,350.17,0.00182,0,-0.0014,0.0038709,9.10E-06
0.998184,1.00E+07,350.22,0.001816,0,0.0014,0.0065964,9.08E-06
0.998206,1.00E+07,350.22,0.001794,0,0.0014,0.005835,8.97E-06
0.998224,1.00E+07,350.22,0.001776,0,0.0014,0.0068533,8.88E-06
0.998246,1.00E+07,350.22,0.001754,0,0.0014,0.0055842,8.77E-06
0.998262,1.00E+07,350.18,0.001738,0,-0.0014,0.004841,8.69E-06
0.998268,1.00E+07,350.22,0.001732,0,0.0014,0.0071117,8.66E-06
0.998314,1.00E+07,350.22,0.001686,0,0.0014,0.005335,8.43E-06
0.998362,1.00E+07,350.22,0.001638,0,0.0014,0.0073717,8.19E-06
0.998366,1.00E+07,350.22,0.001634,0,0.001,0.011753,8.17E-06
